gene_id	module_no	colors
ENSG00000000003	3	brown
ENSG00000000005	2	blue
ENSG00000000419	11	greenyellow
ENSG00000000457	13	salmon
ENSG00000000460	1	turquoise
ENSG00000000938	1	turquoise
ENSG00000000971	17	grey60
ENSG00000001036	8	pink
ENSG00000001084	1	turquoise
ENSG00000001167	1	turquoise
ENSG00000001460	4	yellow
ENSG00000001461	5	green
ENSG00000001497	1	turquoise
ENSG00000001561	2	blue
ENSG00000001617	1	turquoise
ENSG00000001626	4	yellow
ENSG00000001629	1	turquoise
ENSG00000001630	7	black
ENSG00000001631	1	turquoise
ENSG00000002016	22	darkgreen
ENSG00000002330	2	blue
ENSG00000002549	25	orange
ENSG00000002586	13	salmon
ENSG00000002587	12	tan
ENSG00000002726	2	blue
ENSG00000002822	1	turquoise
ENSG00000002834	19	lightyellow
ENSG00000002919	2	blue
ENSG00000002933	3	brown
ENSG00000003056	3	brown
ENSG00000003096	1	turquoise
ENSG00000003137	7	black
ENSG00000003147	23	darkturquoise
ENSG00000003249	1	turquoise
ENSG00000003393	1	turquoise
ENSG00000003400	4	yellow
ENSG00000003402	6	red
ENSG00000003436	17	grey60
ENSG00000003509	1	turquoise
ENSG00000003756	6	red
ENSG00000003989	25	orange
ENSG00000004059	2	blue
ENSG00000004139	1	turquoise
ENSG00000004142	2	blue
ENSG00000004399	1	turquoise
ENSG00000004455	2	blue
ENSG00000004468	4	yellow
ENSG00000004478	14	cyan
ENSG00000004487	1	turquoise
ENSG00000004534	1	turquoise
ENSG00000004660	1	turquoise
ENSG00000004700	1	turquoise
ENSG00000004766	13	salmon
ENSG00000004776	7	black
ENSG00000004777	1	turquoise
ENSG00000004779	2	blue
ENSG00000004799	4	yellow
ENSG00000004864	19	lightyellow
ENSG00000004866	10	purple
ENSG00000004897	1	turquoise
ENSG00000004961	2	blue
ENSG00000004975	1	turquoise
ENSG00000005001	10	purple
ENSG00000005007	1	turquoise
ENSG00000005020	7	black
ENSG00000005022	2	blue
ENSG00000005059	15	midnightblue
ENSG00000005073	1	turquoise
ENSG00000005075	3	brown
ENSG00000005100	1	turquoise
ENSG00000005102	4	yellow
ENSG00000005108	1	turquoise
ENSG00000005156	1	turquoise
ENSG00000005175	1	turquoise
ENSG00000005187	2	blue
ENSG00000005189	24	darkgrey
ENSG00000005194	3	brown
ENSG00000005206	1	turquoise
ENSG00000005238	4	yellow
ENSG00000005243	11	greenyellow
ENSG00000005249	4	yellow
ENSG00000005302	15	midnightblue
ENSG00000005339	1	turquoise
ENSG00000005379	1	turquoise
ENSG00000005436	8	pink
ENSG00000005448	10	purple
ENSG00000005469	14	cyan
ENSG00000005471	25	orange
ENSG00000005483	7	black
ENSG00000005486	2	blue
ENSG00000005513	7	black
ENSG00000005700	19	lightyellow
ENSG00000005801	15	midnightblue
ENSG00000005810	1	turquoise
ENSG00000005812	2	blue
ENSG00000005844	9	magenta
ENSG00000005882	2	blue
ENSG00000005884	7	black
ENSG00000005889	1	turquoise
ENSG00000005893	16	lightcyan
ENSG00000006007	2	blue
ENSG00000006015	3	brown
ENSG00000006025	4	yellow
ENSG00000006042	3	brown
ENSG00000006047	7	black
ENSG00000006062	9	magenta
ENSG00000006118	1	turquoise
ENSG00000006125	24	darkgrey
ENSG00000006194	8	pink
ENSG00000006210	1	turquoise
ENSG00000006282	2	blue
ENSG00000006327	1	turquoise
ENSG00000006432	9	magenta
ENSG00000006451	20	royalblue
ENSG00000006453	7	black
ENSG00000006459	7	black
ENSG00000006468	10	purple
ENSG00000006530	8	pink
ENSG00000006534	5	green
ENSG00000006555	4	yellow
ENSG00000006576	7	black
ENSG00000006607	7	black
ENSG00000006611	13	salmon
ENSG00000006625	1	turquoise
ENSG00000006634	23	darkturquoise
ENSG00000006638	9	magenta
ENSG00000006652	3	brown
ENSG00000006695	4	yellow
ENSG00000006704	1	turquoise
